ring,year,site,box,age,sex,wing,mass,date,time,ringer
Z632747,2015,AVI,5,5,F,62,11.19,157,11:00,Recorder1
Z632748,2015,AVI,5,5,M,65,11.08,157,11:00,Recorder1
Z632766,2015,AVN,4,5,M,64,10.44,157,13:00,Recorder1
Z632767,2015,AVN,1,6,F,61,10.33,157,13:30,Recorder1
Z632768,2015,SLS,4,6,M,66,10.21,157,14:00,Recorder1
Z632769,2015,ALN,5,5,F,63,11.43,157,16:00,Recorder1
Z632770,2015,ALN,5,5,M,65,10.53,157,16:00,Recorder1
Z081068,2015,BAD,5,6,M,67,10.5,158,10:00,Recorder2
Z632288,2015,PTH,6,5,M,63,10.18,158,10:00,Recorder9
Z632289,2015,PTH,6,5,F,60,10.45,158,10:00,Recorder9
Z632628,2015,FOF,4,5,F,64,11.59,158,9:00,Recorder2
Z632637,2015,BAD,3,5,M,65,10.16,158,9:30,Recorder2
Z632638,2015,BAD,3,5,F,63,11.05,158,9:30,Recorder2
Z632792,2015,CAR,4,5,M,64,11.22,158,15:30,Recorder1
Z632793,2015,CAR,4,5,F,63,11.33,158,15:30,Recorder1
Z081172,2015,MUN,2,6,F,62,10.67,159,14:30,Recorder9
Z081173,2015,MUN,2,6,M,64,9.7,159,14:30,Recorder9
Z632324,2015,AVI,6,5,F,60,9.95,159,9:50,Recorder9
Z632326,2015,AVN,3,6,F,61,10.98,159,11:00,Recorder9
Z632327,2015,SLS,4,5,F,60,9.95,159,12:35,Recorder9
Z632334,2015,DEL,6,6,M,64,11.11,159,16:30,Recorder9
Z632335,2015,DEL,6,6,F,63,12.04,159,16:30,Recorder9
Z632400,2015,AVN,3,6,M,63,10.85,159,11:00,Recorder9
Z632794,2015,DUN,4,5,F,62,10.56,159,15:00,Recorder1
Z632795,2015,DUN,4,6,M,67,10.66,159,15:00,Recorder1
Z081198,2015,DEL,4,6,M,64,10.46,160,9:25,Recorder9
Z081616,2015,FSH,5,6,F,60,10.83,160,14:55,Recorder9
Z081857,2015,DLW,1,6,F,63,10.3,160,18:00,Recorder2
Z632342,2015,DEL,4,6,F,60,9.81,160,9:25,Recorder9
Z632343,2015,RTH,2,6,F,61,10.83,160,13:30,Recorder9
Z632344,2015,RTH,2,6,M,63,10.71,160,13:30,Recorder9
Z632352,2015,FSH,2,5,M,65,10.76,160,14:25,Recorder9
Z632353,2015,FSH,2,5,F,60,10.7,160,14:25,Recorder9
Z632431,2015,DLW,1,6,M,65,11.06,160,18:00,Recorder2
Z632644,2015,RSY,2,6,M,60,10.26,160,9:00,Recorder2
Z632645,2015,RSY,2,5,F,61,11.34,160,9:00,Recorder2
Z632652,2015,PTH,2,5,M,65,10.8,160,11:30,Recorder2
Z632653,2015,BIR,3,5,F,60,11.26,160,12:50,Recorder2
Z632682,2015,BLA,4,5,F,60,10.08,160,15:00,Recorder2
Z632683,2015,BLA,4,5,M,65,10.75,160,15:00,Recorder2
Z632684,2015,BLA,1,5,M,65,10.19,160,16:00,Recorder2
Z632685,2015,DNM,4,5,M,63,10.9,160,16:30,Recorder2
Z632686,2015,DNM,4,5,F,63,10.64,160,16:30,Recorder2
Z081653,2015,BIR,3,6,M,68,10.57,161,11:00,Recorder2
Z632359,2015,BIR,5,5,F,62,10.72,161,11:00,Recorder2
Z632360,2015,BIR,6,5,M,65,10.32,161,11:30,Recorder2
Z632361,2015,BIR,6,5,F,62,11.78,161,11:30,Recorder2
Z632368,2015,STY,4,6,F,62,10.66,161,12:30,Recorder2
Z632370,2015,PTH,2,5,F,62,9.96,161,13:30,Recorder2
Z632371,2015,RSY,6,5,F,60,10.26,161,16:00,Recorder2
Z632690,2015,KCK,4,5,M,64,10.37,161,9:30,Recorder2
Z632691,2015,KCZ,5,5,F,62,10.35,161,10:00,Recorder2
Z632692,2015,KCZ,5,5,M,64,10.11,161,10:00,Recorder2
Z632700,2015,KCK,4,6,F,62,11.35,161,10:30,Recorder2
Z632901,2015,AVN,5,5,M,62,11.29,161,10:00,Recorder9
Z632902,2015,AVN,5,5,F,62,11.1,161,10:00,Recorder9
Z632903,2015,AVN,4,5,F,59,10.37,161,10:35,Recorder9
Z632905,2015,ALN,3,6,M,66,10.61,161,13:45,Recorder9
Z632906,2015,ALN,3,6,F,59,10.63,161,13:45,Recorder9
Z632801,2015,BLA,2,5,F,62,11.02,162,14:30,Recorder1
Z632802,2015,BLA,2,5,M,65,10.49,162,14:30,Recorder1
Z632804,2015,DNC,5,5,F,62,11.21,162,16:30,Recorder1
Z632805,2015,DNC,5,6,M,64,11.24,162,16:30,Recorder1
Z632914,2015,FSH,3,5,F,61,10.56,162,13:00,Recorder9
Z632915,2015,FSH,3,5,M,62,11.02,162,13:00,Recorder9
Z632916,2015,DNS,1,6,F,60,11.16,162,15:30,Recorder9
Z632917,2015,DNS,1,6,M,62,10.96,162,15:30,Recorder9
Z081221,2015,STY,1,5,M,63,10.8,163,13:00,Recorder9
Z081652,2015,BIR,4,6,F,62,10,163,15:00,Recorder2
Z632372,2015,BIR,4,5,M,67,10.4,163,15:00,Recorder2
Z632373,2015,RSY,6,5,M,63,10.21,163,16:00,Recorder2
Z081497,2015,DOR,1,5,M,66,10.03,164,12:00,Recorder1
Z081834,2015,DOR,4,6,F,62,10.69,164,11:30,Recorder1
Z081835,2015,DOR,4,6,M,66,10.72,164,11:30,Recorder1
Z632807,2015,DOR,1,6,F,64,9.89,164,12:00,Recorder1
Z632925,2015,BLG,1,5,F,61,10.58,164,13:30,Recorder9
Z632812,2015,KCK,5,5,F,61,11.44,165,12:30,Recorder1
Z632813,2015,KCZ,6,6,M,68,10.87,165,13:00,Recorder1
Z632827,2015,EDI,6,5,F,61,11.03,165,17:30,Recorder1
Z632828,2015,EDI,6,5,M,64,10.54,165,17:30,Recorder1
Z632935,2015,SLS,1,5,F,59,9.37,165,11:30,Recorder9
Z632936,2015,RTH,3,5,M,62,9.86,166,12:50,Recorder9
Z632937,2015,KCZ,3,6,M,65,10.83,167,12:00,Recorder9
Z632938,2015,KCZ,6,6,F,59,10.91,167,12:05,Recorder9
Z632939,2015,DNC,1,6,M,66,10.76,168,14:00,Recorder9
Z632940,2015,KCZ,3,5,F,61,11:00,169,11:00,Recorder9
Z632374,2015,CRU,3,5,M,66,9.9,171,7:30,Recorder2
Z632375,2015,CRU,3,5,F,62,10.93,171,7:30,Recorder2
Z081855,2015,CRU,6,6,M,66,10.9,172,15:00,Recorder2
Z632946,2015,SPD,4,5,F,59,10.44,173,16:00,Recorder9
Z632947,2015,CRU,2,5,F,59,10.49,174,15:00,Recorder9
Z632948,2015,CRU,2,5,M,61,10.49,174,15:00,Recorder9
Z632133,2016,ALN,2,6,F,63,10.28,140,15:30,Recorder1
